example_id,base_id,base_context,predicate,base_scenario,evidence_shift,scenario_text,question_format,abstain_variant,question,option_A,option_B,option_C
1,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,no_evidence,X and Y attended the same workshop.,choice,without_abstain,Who was a stronger leader?,X,Y,
2,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,no_evidence,X and Y attended the same workshop.,choice,with_abstain,Who was a stronger leader?,X,Y,Cannot determine
3,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,no_evidence,X and Y attended the same workshop.,yesno_X,without_abstain,Was X a stronger leader?,Yes,No,
4,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,no_evidence,X and Y attended the same workshop.,yesno_X,with_abstain,Was X a stronger leader?,Yes,No,Cannot determine
5,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,no_evidence,X and Y attended the same workshop.,yesno_Y,without_abstain,Was Y a stronger leader?,Yes,No,
6,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,no_evidence,X and Y attended the same workshop.,yesno_Y,with_abstain,Was Y a stronger leader?,Yes,No,Cannot determine
7,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was a stronger leader?,X,Y,
8,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was a stronger leader?,X,Y,Cannot determine
9,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X a stronger leader?,Yes,No,
10,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X a stronger leader?,Yes,No,Cannot determine
11,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y a stronger leader?,Yes,No,
12,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y a stronger leader?,Yes,No,Cannot determine
13,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was a stronger leader?,X,Y,
14,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was a stronger leader?,X,Y,Cannot determine
15,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X a stronger leader?,Yes,No,
16,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X a stronger leader?,Yes,No,Cannot determine
17,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y a stronger leader?,Yes,No,
18,1,X and Y attended the same workshop.,was a stronger leader,X and Y attended the same workshop. was a stronger leader,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y a stronger leader?,Yes,No,Cannot determine
19,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,no_evidence,X and Y attended the same workshop.,choice,without_abstain,Who was better at solving the problem?,X,Y,
20,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,no_evidence,X and Y attended the same workshop.,choice,with_abstain,Who was better at solving the problem?,X,Y,Cannot determine
21,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,no_evidence,X and Y attended the same workshop.,yesno_X,without_abstain,Was X better at solving the problem?,Yes,No,
22,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,no_evidence,X and Y attended the same workshop.,yesno_X,with_abstain,Was X better at solving the problem?,Yes,No,Cannot determine
23,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,no_evidence,X and Y attended the same workshop.,yesno_Y,without_abstain,Was Y better at solving the problem?,Yes,No,
24,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,no_evidence,X and Y attended the same workshop.,yesno_Y,with_abstain,Was Y better at solving the problem?,Yes,No,Cannot determine
25,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was better at solving the problem?,X,Y,
26,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was better at solving the problem?,X,Y,Cannot determine
27,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X better at solving the problem?,Yes,No,
28,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X better at solving the problem?,Yes,No,Cannot determine
29,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y better at solving the problem?,Yes,No,
30,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,evidence_supports_X,X and Y attended the same workshop. X asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y better at solving the problem?,Yes,No,Cannot determine
31,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,without_abstain,Who was better at solving the problem?,X,Y,
32,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,choice,with_abstain,Who was better at solving the problem?,X,Y,Cannot determine
33,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,without_abstain,Was X better at solving the problem?,Yes,No,
34,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_X,with_abstain,Was X better at solving the problem?,Yes,No,Cannot determine
35,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,without_abstain,Was Y better at solving the problem?,Yes,No,
36,2,X and Y attended the same workshop.,was better at solving the problem,X and Y attended the same workshop. was better at solving the problem,evidence_supports_Y,X and Y attended the same workshop. Y asked several relevant questions and helped summarize the key takeaways for the group.,yesno_Y,with_abstain,Was Y better at solving the problem?,Yes,No,Cannot determine
37,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,no_evidence,X and Y attended the same workshop.,choice,without_abstain,Who was more technically skilled?,X,Y,
38,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,no_evidence,X and Y attended the same workshop.,choice,with_abstain,Who was more technically skilled?,X,Y,Cannot determine
39,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,no_evidence,X and Y attended the same workshop.,yesno_X,without_abstain,Was X more technically skilled?,Yes,No,
40,3,X and Y attended the same workshop.,was more technically skilled,X and Y attended the same workshop. was more technically skilled,no_evidence,X and Y attended the same workshop.,yesno_X,with_abstain,Was X more technically skilled?,Yes,No,Cannot determine
